ID,Car,Elegant,Luxurious,Sporty,Technology,Futuristic,Traditional,Cute,Cool,Sleek,Trendy,Car,Elegant,Luxurious,Sporty,Technology,Futuristic,Traditional,Cute,Cool,Sleek,Trendy,Car,Elegant,Luxurious,Sporty,Technology,Futuristic,Traditional,Cute,Cool,Sleek,Trendy
1,AŽÔ,1,,,1,,,1,,,,BŽÔ,1,,1,,1,,,1,,,CŽÔ,,1,1,1,,,1,,1,
2,AŽÔ,1,,1,,,1,,,,,BŽÔ,,1,1,,,1,1,,,,CŽÔ,,1,,1,1,,1,1,,
3,AŽÔ,,1,,1,,,1,,1,,BŽÔ,,1,,,1,,,1,,1,CŽÔ,1,1,,,1,,1,,,
4,AŽÔ,,1,1,,,1,,1,1,,BŽÔ,,,1,,1,,,1,1,,CŽÔ,,,1,,1,1,1,,,
5,AŽÔ,1,,,1,,,1,,1,,BŽÔ,1,1,,,1,,,1,,,CŽÔ,,1,1,,,1,1,,,
6,AŽÔ,1,,1,1,,,1,,,,BŽÔ,1,,1,1,,,1,,,,CŽÔ,,1,,,1,,,1,1,
7,AŽÔ,,1,1,,1,,,1,,,BŽÔ,,1,,1,1,,,1,,,CŽÔ,1,,1,,,1,,1,,
8,AŽÔ,,1,,,1,1,1,,,,BŽÔ,,1,1,,,1,1,,,,CŽÔ,,,1,,,1,1,,1,
9,AŽÔ,1,,1,,,1,,1,1,,BŽÔ,,1,1,,1,,,1,,,CŽÔ,,1,1,,1,,1,,1,
10,AŽÔ,,1,1,,,1,,1,,,BŽÔ,,1,,1,,,1,,1,,CŽÔ,,,1,,1,,1,1,,
11,AŽÔ,1,,,1,,1,,1,,,BŽÔ,,1,1,,,1,,1,,,CŽÔ,,1,,1,1,,,1,,
12,AŽÔ,,,1,,1,1,,,,,BŽÔ,1,,1,,,1,,1,,,CŽÔ,,1,1,,1,,,1,,
13,AŽÔ,1,,1,,,1,,1,,,BŽÔ,,1,1,,,1,,1,,,CŽÔ,1,,,1,,,1,1,,
14,AŽÔ,,1,,,1,1,,,1,,BŽÔ,1,,,1,,,1,,1,,CŽÔ,1,,1,1,,,1,,,
15,AŽÔ,,1,,,1,,,1,,,BŽÔ,,1,,1,,,1,,1,,CŽÔ,,1,,1,,1,,,1,
16,AŽÔ,1,,,1,,,1,,1,,BŽÔ,1,,1,,,1,,1,,,CŽÔ,,1,1,,,1,,1,,
17,AŽÔ,,1,,1,,,1,,1,,BŽÔ,1,,1,,,1,,1,,,CŽÔ,1,,1,,1,,,1,,
18,AŽÔ,,1,,,1,,1,,1,,BŽÔ,1,,1,,1,,,1,,,CŽÔ,,1,,1,,,1,1,,
19,AŽÔ,,1,,,1,,,1,,,BŽÔ,,1,1,,,1,1,,,,CŽÔ,1,,1,1,,1,,,,1
20,AŽÔ,1,,1,,,1,,1,,,BŽÔ,,1,,,1,,,1,,1,CŽÔ,,1,1,,,1,1,,,1
21,AŽÔ,,1,1,,,1,,1,,,BŽÔ,,,1,,1,,,1,1,,CŽÔ,1,,1,,,1,,1,1,
22,AŽÔ,1,1,,,1,,,1,,,BŽÔ,1,1,,,1,,,1,,,CŽÔ,,1,1,,,1,,1,,
23,AŽÔ,,1,,,1,,1,,,1,BŽÔ,1,,1,1,,,1,,,,CŽÔ,,1,1,,,1,1,,,
24,AŽÔ,,1,,,1,,,1,,1,BŽÔ,,1,,1,1,,,1,,,CŽÔ,,1,1,1,,,1,,1,
25,AŽÔ,1,,,1,,,1,,1,,BŽÔ,,1,1,,,1,1,,,,CŽÔ,1,,1,,,1,,,1,
26,AŽÔ,1,,1,1,,,1,,,,BŽÔ,,1,1,,1,,,1,,,CŽÔ,,1,1,,,1,,1,,
27,AŽÔ,,1,1,,,1,,1,,,BŽÔ,,1,,1,,,1,,1,,CŽÔ,1,,1,1,,,1,,,
28,AŽÔ,,1,1,,1,,,1,,,BŽÔ,,1,1,,,1,,1,,,CŽÔ,1,,1,,1,,,1,,
29,AŽÔ,1,,1,,,1,,1,,,BŽÔ,1,,1,,,1,,1,,,CŽÔ,,1,1,,,1,,1,,
30,AŽÔ,1,,1,,,1,,1,,,BŽÔ,,1,1,,,1,,1,,,CŽÔ,,1,,1,,,1,,1,
31,AŽÔ,1,,,1,,1,,1,,,BŽÔ,1,,,1,,,1,,1,,CŽÔ,,1,,,1,,1,,1,
32,AŽÔ,,1,1,,,1,,1,,,BŽÔ,,1,,1,,,1,,1,,CŽÔ,1,,,1,,,1,,1,
33,AŽÔ,,1,,1,,,1,,1,,BŽÔ,1,,1,,,1,,1,,,CŽÔ,1,,1,,,1,,1,,
34,AŽÔ,1,,,1,,,1,,1,,BŽÔ,,1,,,1,,,1,,1,CŽÔ,,1,,,1,1,,1,,
35,AŽÔ,1,,1,,,1,,1,,,BŽÔ,,1,,1,,,1,,1,1,CŽÔ,,1,,1,,,1,,1,
